feature,mean,std
ABCA12,7.000251190476191,2.9733092185030996
MUC2,1.9451443877551022,3.0618585923791586
PYDC1,3.159730782312925,2.963273883300458
LCN2,5.85707074829932,3.0635460458940744
KRT15,9.454787414965987,2.764020059503857
CLIC6,7.9340816326530605,3.1496003939170016
WNK4,7.337712414965986,3.046513777378848
PEG10,10.136100340136055,3.0709796823676183
ATP13A5,3.388482482993197,2.8387664484776653
SAA1,7.5133816326530605,2.7000128665269725
SPAG6,2.747099149659864,3.0394437422778244
C2orf54,5.731437755102041,2.9730227593122707
CARTPT,1.2184071428571428,3.0780856574786863
ABCC8,5.503338095238096,3.1000171094060627
PI3,2.9502045918367346,3.0969460869111303
CASP14,2.5268824829931975,3.269257803015588
TMPRSS4,4.514498639455782,3.0660848836535535
SDR16C5,6.587788945578231,3.1332030143052303
TF,5.864246768707484,2.8034034408973634
PPAN-P2RY11,5.002283673469387,2.931973472586535
NKAIN1,8.036119047619046,2.8801249959461312
CAPN8,6.49317619047619,3.029512871024587
MSMB,4.419948299319729,3.026370393671466
CCL21,5.910042006802721,2.756286527703521
CAPN6,4.942222448979592,3.0045818343063084
LRP1B,3.7020782312925173,2.951622694150898
LY6D,2.6252181972789117,2.961987832138266
BBOX1,4.804026700680272,2.8527189956831096
GSTA1,2.570398469387755,2.780267726257246
PGLYRP2,4.492223469387755,3.0709819560922753
CYP4F22,5.127024489795918,2.9188980557893993
MS4A15,3.8741683673469387,2.8523803599596804
GLYATL2,6.07959081632653,2.989934291201186
SLC44A4,9.765469727891155,3.010569752534099
S100A7A,2.151616326530612,3.1747682948177225
S100A8,6.470079081632653,3.0892213274936138
SOSTDC1,4.542048639455782,2.6875492378829176
SCUBE2,10.766360544217687,3.0642015632799917
TSPAN8,3.1919496598639454,2.97818872065542
DSG1,2.808425850340136,2.7897380575456108
NEK10,5.691944897959184,2.912414277155068
KLK8,2.7921714285714287,2.723031911814468
HS6ST3,6.227803911564625,2.954933954845987
NBPF6,3.3070748299319725,2.9731255441672824
SLC13A2,4.091591836734694,2.7445007791203273
