"feature","mean","median","sd","q025","q975","hr_mean","hr_q025","hr_q975","prob_positive","prob_negative","significant"
"KRT17",-1.4225496155654,-1.4657769595075,0.386011747360081,-1.86053232986924,-0.542788785632647,0.241098524045678,0.155589783229988,0.581125356426585,0,1,TRUE
"FABP7",-1.11534238968113,-1.12987033676731,0.278803934714597,-1.6552487777975,-0.595355668231611,0.327803023310483,0.191044522157617,0.551366427467571,0,1,TRUE
"ADH1B",0.955969411543071,1.00944630109417,0.306025788478395,0.0175980034422992,1.23756002742086,2.6011909856356,1.01775376063528,3.4471921407424,0.97825,0.02175,TRUE
"ADIPOQ",-0.94446111773413,-0.984790451629466,0.307332302222033,-1.41281828784999,-0.0126237699483487,0.388889079874883,0.243456185778748,0.987455575604564,0.0208333333333333,0.979166666666667,TRUE
"TFF1",-0.916813261781849,-0.921614173183025,0.2661632264414,-1.35592415094719,-0.327070460058983,0.399791042634913,0.257709022331994,0.721032937213453,0,1,TRUE
"GABRP",0.84845603995912,0.87659056740912,0.337173020747071,0.35024801601751,1.41752979295209,2.33603731788205,1.41941954372365,4.12691350799001,1,0,TRUE
"PIGR",-0.754267913111683,-0.770517302456958,0.17590437006366,-1.08840164958093,-0.415302242013109,0.470354829321073,0.336754315179437,0.660140728287287,0,1,TRUE
"ESR1",0.752318458817961,0.781018335366523,0.447730738147277,0.169188728475195,1.60128958651367,2.12191388807201,1.18434363720182,4.95942390851145,1,0,TRUE
"KRT16",0.642363700977999,0.642571451244528,0.287527020363621,0.0933923568511571,1.2126001059136,1.90096889508819,1.09789241638362,3.36221541335796,0.988166666666667,0.0118333333333333,TRUE
"PRAME",0.571721428669858,0.534183418718947,0.167429271809672,0.220338035714944,0.906277751996844,1.77131361850366,1.24649802022734,2.47509245776799,0.99975,0.00025,TRUE
"C1orf64",0.547342923823316,0.541212799847059,0.269096003191011,0.0449823177463225,1.1395536606748,1.72865374557979,1.04600936394227,3.12537307691315,0.98525,0.01475,TRUE
"C20orf114",0.535634907039676,0.54635884065043,0.211660263887697,0.137027621786016,0.953340720904443,1.70853265737807,1.14685982639961,2.59436223850644,0.995666666666667,0.00433333333333333,TRUE
"NXPH1",0.523826857170558,0.501558233934373,0.172926438803415,0.224603164408851,0.906295414060758,1.6884768615068,1.25182584856038,2.47513617339522,1,0,TRUE
"CYP4Z1",0.501691664509385,0.501427804304544,0.225952105395764,0.0645890563745364,0.966047998412762,1.65151271438705,1.06672057228148,2.62753987167908,0.987583333333333,0.0124166666666667,TRUE
"FAM5C",0.481909540882901,0.491671836849831,0.163736629843537,0.131413237698556,0.779919035019836,1.61916331059353,1.1404389563213,2.18129564978944,0.997416666666667,0.00258333333333333,TRUE
"ANKRD30A",0.455081065637192,0.432269904091392,0.200367293352045,0.0785039436300403,0.862084170469714,1.57630116171277,1.08166762085079,2.36809105951552,0.99825,0.00175,TRUE
"BPIL1",-0.397484517311455,-0.466946998290273,0.149672663710414,-0.757685936277929,-0.209692428683185,0.672008347062982,0.468749890040445,0.810833596778722,0.000583333333333333,0.999416666666667,TRUE
"SLC5A8",0.342424723535414,0.32991632208984,0.141409192067687,0.0778310323191884,0.629424152725545,1.40835833343565,1.08093999931397,1.87652967357795,0.99575,0.00425,TRUE
"CLEC3A",0.317357315092161,0.29812969246729,0.129141197211341,0.108336062277841,0.633812571870184,1.37349325412484,1.11442219772554,1.88478276809697,0.995666666666667,0.00433333333333333,TRUE
"CST9",-0.26697270431321,-0.288182322222255,0.144753043211019,-0.473596210925543,-0.00246349596779264,0.765693971322953,0.622758664950414,0.997539535948184,0.0244166666666667,0.975583333333333,TRUE
