"feature","mean","median","sd","q025","q975","hr_mean","hr_q025","hr_q975","prob_positive","prob_negative","significant"
"KRT17",-1.4225496155654,-1.4657769595075,0.386011747360081,-1.86053232986924,-0.542788785632647,0.241098524045678,0.155589783229988,0.581125356426585,0,1,TRUE
"FABP7",-1.11534238968113,-1.12987033676731,0.278803934714597,-1.6552487777975,-0.595355668231611,0.327803023310483,0.191044522157617,0.551366427467571,0,1,TRUE
"ADH1B",0.955969411543071,1.00944630109417,0.306025788478395,0.0175980034422992,1.23756002742086,2.6011909856356,1.01775376063528,3.4471921407424,0.97825,0.02175,TRUE
"ADIPOQ",-0.94446111773413,-0.984790451629466,0.307332302222033,-1.41281828784999,-0.0126237699483487,0.388889079874883,0.243456185778748,0.987455575604564,0.0208333333333333,0.979166666666667,TRUE
"TFF1",-0.916813261781849,-0.921614173183025,0.2661632264414,-1.35592415094719,-0.327070460058983,0.399791042634913,0.257709022331994,0.721032937213453,0,1,TRUE
"GABRP",0.84845603995912,0.87659056740912,0.337173020747071,0.35024801601751,1.41752979295209,2.33603731788205,1.41941954372365,4.12691350799001,1,0,TRUE
"PIGR",-0.754267913111683,-0.770517302456958,0.17590437006366,-1.08840164958093,-0.415302242013109,0.470354829321073,0.336754315179437,0.660140728287287,0,1,TRUE
"ESR1",0.752318458817961,0.781018335366523,0.447730738147277,0.169188728475195,1.60128958651367,2.12191388807201,1.18434363720182,4.95942390851145,1,0,TRUE
"KRT16",0.642363700977999,0.642571451244528,0.287527020363621,0.0933923568511571,1.2126001059136,1.90096889508819,1.09789241638362,3.36221541335796,0.988166666666667,0.0118333333333333,TRUE
"PRAME",0.571721428669858,0.534183418718947,0.167429271809672,0.220338035714944,0.906277751996844,1.77131361850366,1.24649802022734,2.47509245776799,0.99975,0.00025,TRUE
"C1orf64",0.547342923823316,0.541212799847059,0.269096003191011,0.0449823177463225,1.1395536606748,1.72865374557979,1.04600936394227,3.12537307691315,0.98525,0.01475,TRUE
"C20orf114",0.535634907039676,0.54635884065043,0.211660263887697,0.137027621786016,0.953340720904443,1.70853265737807,1.14685982639961,2.59436223850644,0.995666666666667,0.00433333333333333,TRUE
"NXPH1",0.523826857170558,0.501558233934373,0.172926438803415,0.224603164408851,0.906295414060758,1.6884768615068,1.25182584856038,2.47513617339522,1,0,TRUE
"CYP4Z1",0.501691664509385,0.501427804304544,0.225952105395764,0.0645890563745364,0.966047998412762,1.65151271438705,1.06672057228148,2.62753987167908,0.987583333333333,0.0124166666666667,TRUE
"FAM5C",0.481909540882901,0.491671836849831,0.163736629843537,0.131413237698556,0.779919035019836,1.61916331059353,1.1404389563213,2.18129564978944,0.997416666666667,0.00258333333333333,TRUE
"SOX10",0.468317363741282,0.447164347448246,0.301168702649574,-0.177623286847492,0.973090417880823,1.59730424870786,0.837257770101467,2.64610942015197,0.926916666666667,0.0730833333333333,FALSE
"SERPINA11",-0.464976102802574,-0.418140648389661,0.225323207013011,-0.988273225611947,0.0259143918410765,0.628150116037618,0.37221887442866,1.02625308907521,0.031,0.969,FALSE
"ANKRD30A",0.455081065637192,0.432269904091392,0.200367293352045,0.0785039436300403,0.862084170469714,1.57630116171277,1.08166762085079,2.36809105951552,0.99825,0.00175,TRUE
"AGR3",-0.43466124820838,-0.460525475241022,0.272099102819192,-0.923977253532258,0.0651829518322544,0.647483966285562,0.396937177641902,1.06735428094374,0.0555833333333333,0.944416666666667,FALSE
"CYP2B7P1",0.400542128918621,0.405105963096059,0.259835070912983,-0.113360550136503,0.888419241192841,1.49263367821744,0.892828692569803,2.43128333949358,0.93125,0.06875,FALSE
"BPIL1",-0.397484517311455,-0.466946998290273,0.149672663710414,-0.757685936277929,-0.209692428683185,0.672008347062982,0.468749890040445,0.810833596778722,0.000583333333333333,0.999416666666667,TRUE
"KCNJ3",-0.364480999865134,-0.346256293586443,0.201504675773745,-0.728658801020372,0.0258238762526319,0.694557032544386,0.482555759562311,1.02616020137691,0.03025,0.96975,FALSE
"PPP1R1B",-0.360893467359495,-0.416798113146589,0.159436817134605,-0.606954699272026,0.0400864910662193,0.697053253435174,0.545008057910111,1.04090079891909,0.0314166666666667,0.968583333333333,FALSE
"KRT6B",0.347177428948157,0.313348686909427,0.46630272112566,-0.57436039570557,1.30848519549302,1.41506777708511,0.56306489238158,3.70056383357471,0.815,0.185,FALSE
"SLC5A8",0.342424723535414,0.32991632208984,0.141409192067687,0.0778310323191884,0.629424152725545,1.40835833343565,1.08093999931397,1.87652967357795,0.99575,0.00425,TRUE
"PTPRT",-0.340082795180988,-0.344279559994741,0.194052758971245,-0.717814562427711,0.0619591443738631,0.711711394049455,0.487817185873611,1.06391887676822,0.0479166666666667,0.952083333333333,FALSE
"KLK5",0.328830655574381,0.328458629340902,0.275339742603274,-0.190790529136118,0.840676139052025,1.38934255824751,0.826305656983921,2.31793369255209,0.890666666666667,0.109333333333333,FALSE
"CEACAM5",0.325119758436538,0.335347052563186,0.230686099299345,-0.145162927612576,0.747639881522812,1.38419640525237,0.864881368574261,2.11200953713515,0.917583333333333,0.0824166666666667,FALSE
"CLEC3A",0.317357315092161,0.29812969246729,0.129141197211341,0.108336062277841,0.633812571870184,1.37349325412484,1.11442219772554,1.88478276809697,0.995666666666667,0.00433333333333333,TRUE
"GFRA1",-0.312991643208973,-0.287521045043202,0.233259572129605,-0.577374353083847,0.123585491485044,0.731256023497124,0.56137039365094,1.1315467380181,0.07,0.93,FALSE
"STAC2",-0.289293511192194,-0.322673636289757,0.152755011834884,-0.619630846192407,0.0926982914777221,0.748792394197396,0.53814305849066,1.09713067165455,0.0564166666666667,0.943583333333333,FALSE
"PVALB",-0.279740136026136,-0.324711526303485,0.174077771659187,-0.581023177734594,0.117333698155585,0.75598016794314,0.559325783999916,1.1244946088657,0.0745,0.9255,FALSE
"CPB1",0.273100860756472,0.280579458068351,0.201278101279566,-0.121918369058207,0.629237491704366,1.31403277248067,0.885220626946797,1.87617943132212,0.89275,0.10725,FALSE
"MYBPC1",0.271612614835493,0.28042034971837,0.187243244896141,-0.104305095562478,0.606956214212561,1.31207862305513,0.900950379522416,1.8348380366637,0.927083333333333,0.0729166666666667,FALSE
"LRRC31",-0.268373183746838,-0.253669116052038,0.261629149444197,-0.777529145642627,0.27217803241654,0.764622383207367,0.459540066261056,1.31282070514968,0.1465,0.8535,FALSE
"CST9",-0.26697270431321,-0.288182322222255,0.144753043211019,-0.473596210925543,-0.00246349596779264,0.765693971322953,0.622758664950414,0.997539535948184,0.0244166666666667,0.975583333333333,TRUE
"BMPR1B",-0.246844773072778,-0.21505006336882,0.139092732694352,-0.566516946421664,0.027317466520519,0.781261957012397,0.567498628470447,1.02769400942223,0.0375833333333333,0.962416666666667,FALSE
"ELF5",0.241880214019491,0.245333661381618,0.205044891260501,-0.177300664610389,0.619296307166663,1.27364161926811,0.837527931654008,1.85762038765301,0.885583333333333,0.114416666666667,FALSE
"TAT",0.235497626898928,0.22272107312762,0.230536905411714,-0.247800851527223,0.699744005741302,1.26553837800316,0.780515366244564,2.01323726431698,0.8225,0.1775,FALSE
"COL2A1",0.227706586924028,0.213520097550923,0.186948839712459,-0.141089179869068,0.596407157547403,1.25571682763701,0.86841186338803,1.81558396096463,0.90875,0.09125,FALSE
"KLK11",-0.226539689806133,-0.226441044692116,0.166049350280105,-0.562620770001933,0.0898006856168869,0.797287697490857,0.569714016213165,1.0939562207651,0.0830833333333333,0.916916666666667,FALSE
"CYP2A6",0.216526942526269,0.216916620393722,0.162088362551538,-0.0990584505256338,0.501036906906336,1.24175654096136,0.905689768433364,1.65043172781148,0.892166666666667,0.107833333333333,FALSE
"CA9",0.215699542692019,0.222068748167173,0.176571218847138,-0.140513581147809,0.553278383498241,1.24072953673535,0.868911864032183,1.73894461047341,0.883,0.117,FALSE
"A2ML1",0.211515953207575,0.206951955813968,0.208928661463936,-0.194986656119518,0.607643131985273,1.23554967645193,0.822845637936609,1.83609885250996,0.854916666666667,0.145083333333333,FALSE
"SCGB2A2",0.207508356726332,0.225948800980945,0.358631863889659,-0.539577213944068,0.873673248002779,1.23060800065141,0.58299468229911,2.39569469178145,0.70975,0.29025,FALSE
"MUC6",-0.205491990625942,-0.216598684269844,0.206124910674106,-0.54034750651381,0.172641147307716,0.814246616146761,0.582545778742869,1.18843955382057,0.18725,0.81275,FALSE
"GSTT1",0.199540632202506,0.202514523280045,0.147926617638488,-0.102095575811072,0.443726018222364,1.22084181391503,0.902943248011391,1.55850342558226,0.907166666666667,0.0928333333333333,FALSE
"TFF3",0.197009973464133,0.222923264590615,0.282606091223214,-0.332676715830034,0.747519612556484,1.21775618589299,0.717001952072787,2.11175554320535,0.752083333333333,0.247916666666667,FALSE
"KIF1A",-0.191938148665673,-0.186121560054252,0.165128976734095,-0.525221865626283,0.129542764848048,0.825357916401403,0.591424133123808,1.13830778998158,0.1215,0.8785,FALSE
"SLC30A8",0.188952597284393,0.191945186982677,0.169226355489583,-0.152868582238279,0.50839765102159,1.20798368941841,0.858242502709245,1.66262495399561,0.86175,0.13825,FALSE
"KRT6A",-0.179688257490286,-0.158788246448946,0.2506507792918,-0.698578449028977,0.265470956947065,0.835530641234681,0.497291727101619,1.30404498022491,0.246,0.754,FALSE
