"feature","rhat","ess"
"CLEC3A",1.0053229017536,30.838975191706
"CPB1",1.04187199735302,97.3742150175589
"SCGB2A2",1.28522979536467,12.2332398663522
"SCGB1D2",1.37842481977878,7.42322386847099
"TFF1",1.15996941958171,26.1107474596813
"GSTM1",1.0214962651682,481.26741025955
"PIP",1.31942541864224,168.280759242312
"S100A7",1.00885654056433,42.87716719719
"CYP2B7P1",1.0289295055465,70.6083390536344
"MUCL1",1.09404338357858,185.908729205641
"PRAME",1.00095342727963,132.557527408961
"ANKRD30A",1.17054671990563,88.2285796514472
"SERPINA6",1.01460022623348,425.489047750513
"AGR3",1.02346535806863,265.018774891599
"KCNJ3",1.06569576798717,946.307509834921
"CYP4Z1",1.03000046978867,154.140463568709
"TFAP2B",1.11182473687593,17.1554999099945
"HMGCS2",1.35744139524954,110.341980107368
"SLC30A8",1.04170757725693,66.9792884578491
"UGT2B11",1.20177110279868,26.3416999240075
"DHRS2",1.22758143432145,14.8368378806743
"MUC6",1.48540535858309,30.5776441184093
"VSTM2A",1.04421740053125,89.444087962011
"ADIPOQ",1.13448166625885,21.7695012681603
"ADH1B",1.3691485574869,13.1736979509113
"TAT",1.48205267370666,41.5895479202311
"CEACAM5",1.01055028056636,33.0955203965865
"COL2A1",1.01062434386694,898.366688754324
"C4orf7",1.20384705036543,89.4378839849793
"CALML5",1.06956235336295,15.7479375932906
"GABRP",1.8729790127969,10.8388887974891
"GRIA2",1.05682682318703,12.956099266732
"GP2",1.12680583975978,80.253321498455
"MUC5B",1.23297127150776,49.3902796475945
"KRT5",1.19103604478068,10.7240789818499
"KRT14",1.2025016850859,2566.6065410894
"MYBPC1",1.04447947852824,69.3741720057424
"SOX10",1.12122733935569,15.3797391172788
"C1orf64",1.21373623128755,80.247964548328
"LTF",1.04960730325896,43.7854940143941
"TFF3",1.06787204485943,35.7992186059609
"SYT13",1.46726241556788,9.61217316940974
"BMPR1B",1.05452095062599,12.1332836943321
"GSTT1",1.06102550012199,31.9177634683946
"STAC2",1.07488035060943,11.826062901785
"CRABP1",1.01071924571174,1268.25477490784
"FABP7",1.04511700691275,69.6709160461359
"NPY1R",1.00166828948378,9.35733595579658
"KIF1A",1.00150210038155,68.7995363488493
"CYP2A6",1.07043889194331,12000
"KRT6B",1.0278721443485,8.09669446178754
"HOXB13",1.07440810733163,177.328196193339
"CEACAM6",1.07764168805947,46.0988201396446
"CST9",1.14789944203494,20.4491398352705
"CLCA2",1.05930274817206,38.9857307932547
"CP",1.12871069757885,38.7117345003427
"CRISP3",1.21617763966249,70.0632611037285
"SLC34A2",2.00714811580384,67.7424696244263
"ABCC11",1.01209336013734,22.7930680805274
"LRP2",1.07524976921128,64.0602357001886
"PGR",1.08897750573435,14.0495793895411
"GFRA1",1.949022137444,7.78709265479884
"KLK11",1.00783293437574,199.043679872071
"PVALB",1.10554368047048,74.9405583136679
"TCN1",1.10386522177059,10.9885033249251
"SLC5A8",1.02411151667398,49.7020054372027
"C20orf114",1.08189851260658,40.6057378738383
"CGA",1.38229478963454,20.2646672088402
"NLRP2",1.112629805076,11.7222450590748
"KCNC2",1.30447491172157,11.7686429747998
"A2ML1",1.00572263811073,42.003190921129
"PROM1",1.0877134893015,8.46437185811505
"MUC16",1.00075599306357,43.5619161687313
"OBP2B",1.0360509972253,29.9574912083124
"PIGR",1.07901005833316,46.115760706329
"OLFM4",1.09106293774593,117.165381220494
"DSG3",1.09268057981425,28.205567511511
"KLK5",1.26726265818831,12000
"CBLN2",1.01760851419892,666.879274008061
"AGR2",1.08037078756586,30.0279750891557
"KRT16",1.02590520071125,48.1501161348437
"CA9",1.00471030199975,144.172399040491
"KRT6A",1.02231629708394,18.6176982996767
"LBP",1.01999050019648,97.3469943963146
"BPIL1",1.78443193735794,8.8866953683802
"SERPINA11",1.18808909003458,10.9629094586017
"FAM5C",1.05221029993947,181.549459705952
"ELF5",1.03724530890631,263.163065131998
"AQP5",1.06895904696518,29.7856800988885
"DCD",1.79283450852849,13.4180226050103
"CYP4F8",1.0785062563897,125.271286656469
"MSLN",1.61940995905492,63.1295055864207
"PPP1R1B",1.04811950776539,13.6427870529316
"KRT17",1.79544439956558,10.0802013538156
"NXPH1",1.10920191582323,12000
"PTPRT",1.04969358115908,30.6603325480696
"LRRC31",1.24645325215337,32.8407419493881
"ORM1",1.12871860517855,22.3949497513493
"BEX1",1.00140239868845,213.220734203834
"ESR1",1.90369968327683,34.2585949351997
