fold,final_train_loss,final_val_loss,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
1,0.6851053375741969,0.7248176612979923,0.48,0.4805194805194805,0.49333333333333335,0.48684210526315785,0.5054222222222222,35.0,40.0,38.0,37.0
2,0.6906917093424352,0.717439459599605,0.5266666666666666,0.5294117647058824,0.48,0.5034965034965035,0.5088,43.0,32.0,39.0,36.0
3,0.7053892245964304,0.6894456506241886,0.5503355704697986,0.5411764705882353,0.6216216216216216,0.5786163522012578,0.5706306306306306,36.0,39.0,28.0,46.0
4,0.6909282384200679,0.6746486715843325,0.5838926174496645,0.603448275862069,0.47297297297297297,0.5303030303030303,0.6025225225225226,52.0,23.0,39.0,35.0
5,0.7063237885417813,0.6787566244605729,0.5472972972972973,0.5454545454545454,0.5675675675675675,0.5562913907284768,0.5856464572680788,39.0,35.0,32.0,42.0
