loss,val_auc
0.271870295260829,0.4095744680851064
0.25258986397372624,0.4308510638297872
0.27742408812370417,0.44680851063829785
0.24977093572201228,0.47606382978723405
0.28116084713310585,0.48936170212765956
0.27075895940748446,0.4920212765957447
0.2426744054936208,0.5
0.2504903121892098,0.5079787234042553
0.26767831999299757,0.5106382978723404
0.26869791673615284,0.5159574468085106
0.2282384422367249,0.5186170212765957
0.266965897650972,0.5345744680851063
0.25092414575379923,0.5531914893617021
0.24902406821729287,0.5611702127659575
0.25248679159719456,0.574468085106383
0.26248308192124,0.5824468085106383
0.2496645558091489,0.5851063829787234
0.25021448446765227,0.5851063829787234
0.2614023897795163,0.598404255319149
0.26162097852383553,0.6090425531914894
0.264483130104374,0.6196808510638298
0.249926046147402,0.6196808510638298
0.24676239013290108,0.6329787234042553
0.24291284148908723,0.6462765957446809
0.2441806986188469,0.6595744680851063
0.2534065031272141,0.6702127659574468
0.2374326763421417,0.6835106382978723
0.23615482183135011,0.6914893617021277
0.2419177241480844,0.6968085106382979
0.2661032617243445,0.699468085106383
0.2284388475266764,0.7154255319148937
0.266712008695905,0.7154255319148937
0.2419408781559747,0.7127659574468085
0.24721582956568883,0.7127659574468085
0.22660802071623223,0.7127659574468085
0.23227091604148814,0.7180851063829787
0.23478813109297705,0.7127659574468085
0.24813231883003367,0.7154255319148937
0.2331576723532868,0.726063829787234
0.2377966810653533,0.723404255319149
0.2256446640134147,0.7287234042553191
0.2423333631674353,0.7287234042553191
0.2297203098448111,0.7313829787234043
0.23587849805922825,0.7340425531914894
0.24511917275446365,0.7340425531914894
0.22935012462322804,0.7367021276595744
0.23168794837281195,0.7367021276595744
0.2366844810258961,0.7367021276595744
0.23783460583867091,0.7367021276595744
0.2447405040212043,0.7367021276595744
0.2196733734964698,0.7340425531914894
0.2587242624017815,0.7340425531914894
0.215654752529179,0.7340425531914894
0.23357411862758795,0.7287234042553191
0.23092683041881149,0.7313829787234043
0.22428257223247522,0.7340425531914894
0.24589715324074538,0.7340425531914894
0.23355675430222383,0.7313829787234043
0.23036915237793357,0.7313829787234043
0.20712781291351848,0.726063829787234
0.21098932221160607,0.726063829787234
0.21860391757323597,0.7287234042553191
0.21120159158438895,0.7313829787234043
0.2357295515338543,0.7313829787234043
0.2211939210492131,0.7287234042553191
0.2276470167047264,0.726063829787234
0.22246812928321497,0.726063829787234
0.23573163574366118,0.7287234042553191
0.23694896425109174,0.7287234042553191
0.21921296678728577,0.7287234042553191
0.21663884794282845,0.7287234042553191
0.21454167127692816,0.726063829787234
0.2010861099808883,0.7287234042553191
0.23112414426006245,0.7313829787234043
0.22120368525731543,0.7313829787234043
0.22146242856828358,0.7287234042553191
